Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56534999,"Slow Horses (Slough House, #1)",Mick Herron,"Herron, Mick",,"=""1641292970""","=""9781641292979""",4,3.92,Soho Crime,Paperback,408,2020,2010,,2022/12/23,2022-reads,2022-reads (#59),read,,,,1,0
34196074,Strangers in Their Own Land: Anger and Mourning on the American Right,Arlie Russell Hochschild,"Hochschild, Arlie Russell",,"=""1620973499""","=""9781620973493""",5,4.12,The New Press,Paperback,383,2018,2016,,2022/11/24,2022-reads,2022-reads (#58),read,,,,1,0
35254576,Changing Our Mind: Definitive 3rd Edition of the Landmark Call for Inclusion of Lgbtq Christians with Response to Critics,David P. Gushee,"Gushee, David P.",,"=""1942011849""","=""9781942011842""",5,4.29,Read the Spirit Books,Paperback,,2017,2014,,2022/11/20,2022-reads,2022-reads (#57),read,,,,1,0
13746589,A Thicker Jesus,Glen H. Stassen,"Stassen, Glen H.",,"=""0664238173""","=""9780664238179""",5,4.21,Westminster John Knox Press,Paperback,280,2012,2012,,2022/11/18,2022-reads,2022-reads (#56),read,,,,1,0
62199719,Destined for Joy: The Gospel of Universal Salvation,Alvin F. Kimel,"Kimel, Alvin F.","Bradley Jersak, David Bentley Hart","=""""","=""9798841664772""",4,4.09,,Paperback,455,2022,,,2022/11/06,2022-reads,2022-reads (#55),read,,,,1,0
58724593,"A Prayer for the Crown-Shy (Monk & Robot, #2)",Becky  Chambers,"Chambers, Becky",,"=""1250236231""","=""9781250236234""",5,4.46,Tordotcom,Hardcover,149,2022,2022,,2022/10/15,2022-reads,2022-reads (#54),read,,,,1,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",5,4.21,Grove Press,Hardcover,118,2021,2021,,2022/10/13,2022-reads,2022-reads (#53),read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",5,4.15,Knopf,Hardcover,255,2022,2022,,2022/10/11,2022-reads,2022-reads (#52),read,,,,1,0
310755,"The Coffin Dancer (Lincoln Rhyme, #2)",Jeffery Deaver,"Deaver, Jeffery",,"=""0684852853""","=""9780684852850""",4,4.16,Simon & Schuster,Hardcover,358,1998,1998,,2022/10/02,2022-reads,2022-reads (#51),read,,,,1,0
40864002,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"Chambers, Becky",,"=""""","=""""",5,4.30,Tordotcom,Kindle Edition,160,2021,2021,2022/09/28,2022/09/28,2022-reads,2022-reads (#50),read,Simply lovely and delightful. It’s somehow as if Wendell Berry started writing sci-fi short stories. I will be coming back to this one for sure. ,,,1,0
